,Country,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016
22,Bermuda,52286 ,52856 ,53430 ,53978 ,54508 ,54990 ,55431 ,55849 ,56236 ,56616 ,56992 ,57371 ,57746 ,58134 ,58525 ,58920 ,59324 ,59731 ,60140 ,60538 ,60930 ,61312 ,61677 ,62034 ,62381 ,62696 ,62986 ,63259 ,63511 ,63767 ,64028 ,64323 ,64610 ,64870 ,65065 ,65130 ,65063 ,64892 ,64625 ,64303 ,63956 ,63581 ,63179 ,62771 ,62382 ,62003 ,61666 
23,Bhutan,298301 ,308053 ,318045 ,328312 ,338943 ,349982 ,361455 ,373324 ,385384 ,397390 ,409172 ,420380 ,431050 ,441847 ,453720 ,467178 ,482952 ,500437 ,517273 ,530257 ,537280 ,537284 ,531525 ,523117 ,516503 ,514877 ,519282 ,528754 ,542155 ,557543 ,573416 ,589600 ,606399 ,623434 ,640282 ,656639 ,672228 ,686958 ,700950 ,714458 ,727641 ,740510 ,752967 ,764961 ,776448 ,787386 ,797765 
24,Bolivia,4505778 ,4600591 ,4698083 ,4798509 ,4902168 ,5009257 ,5119833 ,5233677 ,5350322 ,5469123 ,5589575 ,5711599 ,5835182 ,5959960 ,6085496 ,6211550 ,6337893 ,6464732 ,6592787 ,6723046 ,6856244 ,6992521 ,7131707 ,7273825 ,7418861 ,7566714 ,7717443 ,7870855 ,8026254 ,8182712 ,8339512 ,8496375 ,8653345 ,8810420 ,8967741 ,9125409 ,9283334 ,9441444 ,9599855 ,9758748 ,9918242 ,10078343 ,10239004 ,10400264 ,10562159 ,10724705 ,10887882 
25,Bosnia and Herzegovina,3760527 ,3805285 ,3851151 ,3897255 ,3942223 ,3985103 ,4025265 ,4063191 ,4100350 ,4138819 ,4179855 ,4222511 ,4265310 ,4308106 ,4350746 ,4392130 ,4435504 ,4478519 ,4508056 ,4506653 ,4463422 ,4371603 ,4239154 ,4087999 ,3948816 ,3843712 ,3780378 ,3752431 ,3750485 ,3759118 ,3766706 ,3771284 ,3775807 ,3779247 ,3781287 ,3781530 ,3779468 ,3774000 ,3763599 ,3746561 ,3722084 ,3688865 ,3648200 ,3604999 ,3566002 ,3535961 ,3516816 
26,Botswana,695597 ,718639 ,742835 ,768512 ,796095 ,825840 ,857855 ,891926 ,927585 ,964166 ,1001158 ,1038397 ,1075889 ,1113539 ,1151292 ,1189114 ,1226810 ,1264314 ,1301818 ,1339624 ,1377912 ,1416731 ,1455833 ,1494693 ,1532622 ,1569094 ,1604060 ,1637635 ,1669625 ,1699862 ,1728340 ,1754935 ,1779953 ,1804339 ,1829330 ,1855852 ,1884238 ,1914414 ,1946351 ,1979882 ,2014866 ,2051339 ,2089315 ,2128507 ,2168573 ,2209197 ,2250260 
27,Brazil,95326793 ,97728961 ,100143598 ,102584278 ,105069367 ,107612100 ,110213082 ,112867867 ,115577669 ,118342626 ,121159761 ,124030908 ,126947365 ,129882321 ,132800684 ,135676281 ,138499464 ,141273488 ,144001542 ,146691981 ,149352145 ,151976577 ,154564278 ,157132682 ,159705123 ,162296612 ,164913306 ,167545164 ,170170640 ,172759243 ,175287587 ,177750670 ,180151021 ,182482149 ,184738458 ,186917361 ,189012412 ,191026637 ,192979029 ,194895996 ,196796269 ,198686688 ,200560983 ,202408632 ,204213133 ,205962108 ,207652865 
28,British Virgin Islands,9803 ,9970 ,10125 ,10264 ,10379 ,10476 ,10543 ,10591 ,10662 ,10792 ,11002 ,11315 ,11712 ,12188 ,12731 ,13304 ,13938 ,14589 ,15266 ,15900 ,16461 ,16934 ,17344 ,17703 ,18052 ,18427 ,18833 ,19270 ,19722 ,20188 ,20645 ,21085 ,21529 ,22000 ,22541 ,23168 ,23905 ,24731 ,25604 ,26447 ,27224 ,27901 ,28509 ,29056 ,29588 ,30113 ,30661 
29,Brunei,129583 ,135726 ,142073 ,148560 ,155109 ,161671 ,168224 ,174773 ,181257 ,187656 ,193949 ,200085 ,206128 ,212136 ,218227 ,224512 ,230972 ,237622 ,244458 ,251514 ,258785 ,266274 ,273963 ,281751 ,289525 ,297192 ,304699 ,312038 ,319222 ,326289 ,333241 ,340117 ,346867 ,353389 ,359523 ,365158 ,370250 ,374864 ,379252 ,383772 ,388662 ,394013 ,399748 ,405716 ,411704 ,417542 ,423196 
30,Bulgaria,8507476 ,8558968 ,8608611 ,8655674 ,8699139 ,8738361 ,8772535 ,8801885 ,8828014 ,8853187 ,8878775 ,8905069 ,8930671 ,8953074 ,8968856 ,8975291 ,8972469 ,8960472 ,8936557 ,8897446 ,8841371 ,8766890 ,8676243 ,8575889 ,8474669 ,8379180 ,8291872 ,8211726 ,8137564 ,8066883 ,7997787 ,7930546 ,7866086 ,7803881 ,7743264 ,7683763 ,7624959 ,7566949 ,7510331 ,7456030 ,7404590 ,7356213 ,7310383 ,7266141 ,7222145 ,7177396 ,7131494 
31,Burkina Faso,5624600 ,5723381 ,5825173 ,5930483 ,6040041 ,6154545 ,6274037 ,6398935 ,6530819 ,6671656 ,6822843 ,6985160 ,7158255 ,7340905 ,7531242 ,7727907 ,7930694 ,8140073 ,8356305 ,8579823 ,8811034 ,9050084 ,9297113 ,9552476 ,9816588 ,10089878 ,10372745 ,10665546 ,10968724 ,11282701 ,11607942 ,11944587 ,12293100 ,12654621 ,13030569 ,13421930 ,13829177 ,14252021 ,14689726 ,15141099 ,15605217 ,16081904 ,16571216 ,17072723 ,17585977 ,18110624 ,18646433 
32,Burundi,3455606 ,3505391 ,3544047 ,3578490 ,3618585 ,3671494 ,3739659 ,3821194 ,3913768 ,4013310 ,4116817 ,4223195 ,4333386 ,4448728 ,4571292 ,4702066 ,4841565 ,4987736 ,5135956 ,5280024 ,5415415 ,5542048 ,5661139 ,5771398 ,5871607 ,5962058 ,6041112 ,6112097 ,6186352 ,6278940 ,6400706 ,6555829 ,6741569 ,6953113 ,7182451 ,7423289 ,7675338 ,7939573 ,8212264 ,8489031 ,8766930 ,9043508 ,9319710 ,9600186 ,9891790 ,10199270 ,10524117 
33,Cape Verde,270198 ,272992 ,273651 ,273005 ,272292 ,272423 ,273652 ,275767 ,278739 ,282415 ,286657 ,291602 ,297285 ,303368 ,309397 ,315069 ,320183 ,324893 ,329671 ,335184 ,341883 ,349934 ,359090 ,369014 ,379156 ,389127 ,398773 ,408175 ,417323 ,426285 ,435079 ,443716 ,452106 ,460147 ,467664 ,474567 ,480795 ,486438 ,491723 ,496963 ,502384 ,508067 ,513979 ,520106 ,526437 ,532913 ,539560 
34,Cambodia,6994848 ,7137749 ,7300152 ,7447285 ,7531424 ,7522593 ,7402873 ,7194279 ,6955566 ,6768724 ,6692107 ,6748193 ,6918101 ,7168236 ,7446019 ,7712978 ,7958976 ,8196037 ,8433798 ,8689152 ,8973342 ,9286976 ,9621504 ,9968275 ,10315376 ,10653558 ,10980273 ,11295880 ,11597739 ,11883636 ,12152354 ,12402473 ,12634729 ,12853124 ,13063377 ,13270201 ,13474489 ,13676693 ,13880509 ,14090208 ,14308740 ,14537886 ,14776866 ,15022692 ,15270790 ,15517635 ,15762370 
