,Country,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016
179,Spain,1203.075327,1352.905036,1696.608972,2230.509232,2727.080433,3181.565562,3249.293748,3592.636944,4312.851614,5709.081684,6141.117755,5312.922393,5102.471552,4426.453592,4436.418583,4642.741394,6433.484728,8138.669187,9584.143019,10546.4828,13612.91239,14607.41776,15922.64535,13211.43793,13306.30175,15365.63847,16022.2446,14669.66093,15314.28403,15618.64936,14556.18928,15122.93873,16795.74159,21260.16158,24672.68345,26275.62482,28272.14493,32587.35377,35546.82471,32253.35935,30597.53512,31722.33219,28512.44063,29163.28842,29597.09237,25815.73725,26695.13978
180,Sri Lanka,225.4673303,226.0235505,247.5410895,264.288462,322.8387512,327.8640064,306.1938208,340.101155,228.8919001,274.6884113,325.2630414,340.2628116,357.6821714,381.1859796,429.6735684,424.768633,443.7335749,455.8012224,482.1021297,476.2197754,541.8180318,602.896234,641.8221062,682.5201778,766.2848266,838.1071415,898.9154124,967.3188138,999.8628413,987.8517643,1018.627389,970.9807339,1026.944511,1124.582397,1220.613162,1430.59955,1645.390428,1868.856716,2336.09259,2398.150333,2808.43467,3214.013835,3350.595979,3620.448452,3847.853762,3891.659084,3909.993617
181,Saint Vincent and the Grenadines,234.2458763,251.8335739,342.6189827,370.4312799,399.8141443,399.2185523,383.5418301,434.9495028,544.6998064,626.5186967,695.7483011,846.9631087,973.7925424,1083.33948,1170.388801,1276.56846,1429.730432,1586.525827,1820.716143,1962.6893,2179.014009,2327.09636,2554.110219,2608.718499,2660.468283,2887.422671,3046.684617,3214.905791,3477.008404,3616.360104,3672.570048,3984.667704,4271.043737,4446.734693,4807.933419,5064.698337,5610.733451,6276.36266,6370.17359,6177.133534,6231.769894,6183.373995,6338.249561,6597.213749,6633.32371,6912.279037,6980.096723
182,Palestine,157.6952142,177.8775641,250.2855955,300.1190716,451.9401298,438.1211196,499.7000131,501.0289496,508.2252767,575.8041153,711.6302324,638.6332189,658.9492406,662.9769261,631.9834006,571.3483605,887.6026793,946.5542726,964.6386766,883.0186878,921.4429661,952.6944703,1125.200478,1159.5338,1136.829799,1254.077049,1243.663321,1309.511495,1355.995709,1369.379906,1338.376654,1210.034001,1052.307913,1153.220517,1235.487827,1351.110266,1341.790907,1467.483114,1732.337221,1836.338904,2191.658415,2504.35823,2626.194423,2826.048941,2802.382409,2717.845865,2796.477763
183,Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1476.617681,1435.88691,1583.749102,1976.695716,1719.322224,1734.377426,1837.664785,2058.223517,2094.235734
184,Sudan (Former),88.56752523,93.25465673,112.1072558,139.8480932,165.104183,199.3494197,240.6247452,273.5556936,284.6715329,304.0373659,331.3167157,385.9304078,282.2728381,245.9998011,321.3123181,292.3033796,384.9566907,484.9483969,469.0552792,448.8632626,487.6304473,425.8749563,443.7707745,447.0230859,412.9416254,434.5770882,275.7718071,327.9839714,340.2795808,324.5464853,385.6150342,450.0747457,504.9755268,578.1454009,701.6908867,901.6386941,1129.470562,1444.860889,1515.028555,1397.982684,1567.145074,NA,NA,NA,NA,NA,NA
185,Suriname,959.839078,1044.151601,1142.00025,1262.829697,1538.621086,1758.297942,1917.563385,2433.855832,2787.947803,2961.199503,3002.143694,3352.660351,3444.570516,3314.092787,3220.337692,3220.817226,3239.333131,3499.314617,4063.843627,1891.955075,1848.100527,1925.367825,1941.39081,1823.007825,1894.108275,1902.586432,2340.506684,2474.900073,2931.252977,2392.829177,2448.53079,2137.220222,2772.231991,3190.29216,3657.964315,4395.363819,5208.039993,5761.060869,6858.202053,7444.146869,8303.27399,8318.90842,9272.230081,9484.379312,9564.639215,8724.555594,5871.477293
186,Swaziland,347.1219104,419.1556503,447.304555,563.4404669,676.4968057,766.1919834,759.6636697,818.7177769,888.8557542,1022.058251,1336.248924,1434.84413,1294.607297,1335.168742,1056.978423,764.0422786,925.5538956,1171.724249,1310.446865,1302.052384,1456.282756,1502.465315,1627.587176,1615.212218,1688.916571,1979.254854,1827.000756,1919.429893,1729.194036,1655.011386,1637.443389,1437.621413,1324.990322,2020.980862,2529.597306,2871.548334,2935.314739,3045.517886,2840.715088,3030.815406,3688.176829,3923.076362,3830.775049,3590.262955,3445.582895,3150.93473,2983.402587
187,Sweden,4662.406584,5061.92583,5938.666685,7184.855608,7962.132321,9968.71128,10713.80378,11288.25017,12439.91565,14656.28284,16845.09019,15357.33199,13538.47295,12425.35834,12908.39257,13462.40802,17695.48555,21425.82843,24108.09901,25237.36804,30132.26909,31346.05533,32268.8119,24003.13823,25696.16161,29882.36794,32520.55795,29820.98467,30076.21495,30524.50765,29251.44008,26963.5952,29585.76854,36989.51317,42455.94978,43042.27599,46176.02597,53236.44627,55642.72343,46132.70758,52009.47305,59488.28312,57005.13041,60190.02959,59221.32851,50997.57202,52297.24332
188,Switzerland,3934.664277,4688.554428,5706.06298,7623.323224,8744.612461,10001.3561,10462.59619,11199.31458,15710.87493,17702.04902,18879.29977,17256.76423,17616.02462,17454.98836,16563.95784,16691.64757,23787.94208,29618.87217,31845.66125,30528.91431,38663.45265,38734.99957,39881.99962,38358.29508,42039.53542,48817.37131,46747.05148,40401.32006,41466.92585,40613.94401,37957.18771,38684.01781,41609.46138,48400.0116,53647.9867,55152.50006,57596.95998,63479.36094,72503.32365,69985.06953,74538.44988,88214.69108,83176.17807,84659.0154,86174.30505,81647.59945,79608.67342
